Filename,Timestamp,Count of Audible Words,Words Out of Order,Longest Consecutive Count
09-30-2021 01-36-31.wav,2021-09-30T01:36:31,0,False,0
09-30-2021 01-28-31.wav,2021-09-30T01:28:31,0,False,0
09-30-2021 03-30-07.wav,2021-09-30T03:30:07,10,False,10
09-30-2021 01-24-31.wav,2021-09-30T01:24:31,0,False,0
09-30-2021 03-22-07.wav,2021-09-30T03:22:07,8,False,8
09-30-2021 01-12-31.wav,2021-09-30T01:12:31,0,False,0
09-30-2021 00-46-07.wav,2021-09-30T00:46:07,10,False,10
09-30-2021 02-40-31.wav,2021-09-30T02:40:31,0,False,0
09-30-2021 00-58-07.wav,2021-09-30T00:58:07,10,False,10
09-30-2021 03-14-07.wav,2021-09-30T03:14:07,10,False,10
09-30-2021 03-18-07.wav,2021-09-30T03:18:07,10,False,10
09-30-2021 01-00-31.wav,2021-09-30T01:00:31,4,False,4
09-30-2021 00-54-07.wav,2021-09-30T00:54:07,0,False,0
09-30-2021 02-52-31.wav,2021-09-30T02:52:31,10,False,10
09-30-2021 03-06-07.wav,2021-09-30T03:06:07,10,False,10
09-30-2021 00-02-55.wav,2021-09-30T00:02:55,10,False,10
09-30-2021 02-35-43.wav,2021-09-30T02:35:43,0,False,0
09-30-2021 03-29-19.wav,2021-09-30T03:29:19,10,False,10
09-30-2021 00-10-55.wav,2021-09-30T00:10:55,0,False,0
09-30-2021 02-27-43.wav,2021-09-30T02:27:43,10,False,10
09-30-2021 03-25-19.wav,2021-09-30T03:25:19,5,False,5
09-30-2021 02-39-43.wav,2021-09-30T02:39:43,10,False,10
09-30-2021 00-26-55.wav,2021-09-30T00:26:55,0,False,0
2830-3980-0043.wav,None,0,False,0
09-30-2021 00-41-19.wav,2021-09-30T00:41:19,10,False,10
09-30-2021 02-11-43.wav,2021-09-30T02:11:43,0,False,0
09-30-2021 00-38-55.wav,2021-09-30T00:38:55,10,False,10
09-30-2021 01-43-43.wav,2021-09-30T01:43:43,10,False,10
09-30-2021 03-13-19.wav,2021-09-30T03:13:19,10,False,10
09-30-2021 00-34-55.wav,2021-09-30T00:34:55,10,False,10
09-30-2021 02-03-43.wav,2021-09-30T02:03:43,0,False,0
09-30-2021 00-53-19.wav,2021-09-30T00:53:19,0,False,0
09-30-2021 03-01-19.wav,2021-09-30T03:01:19,0,False,0
09-30-2021 01-51-43.wav,2021-09-30T01:51:43,0,False,0
09-29-2021 23-52-31.wav,2021-09-29T23:52:31,10,False,10
09-30-2021 01-42-07.wav,2021-09-30T01:42:07,10,False,10
09-30-2021 00-16-31.wav,2021-09-30T00:16:31,10,False,10
09-30-2021 02-10-07.wav,2021-09-30T02:10:07,0,False,0
09-30-2021 00-08-31.wav,2021-09-30T00:08:31,10,False,10
09-30-2021 01-50-07.wav,2021-09-30T01:50:07,0,False,0
09-30-2021 00-04-31.wav,2021-09-30T00:04:31,10,False,10
09-30-2021 02-02-07.wav,2021-09-30T02:02:07,0,False,0
09-30-2021 00-32-31.wav,2021-09-30T00:32:31,10,False,10
09-30-2021 02-34-07.wav,2021-09-30T02:34:07,10,False,10
09-29-2021 23-54-55.wav,2021-09-29T23:54:55,10,False,10
09-30-2021 00-20-31.wav,2021-09-30T00:20:31,10,False,10
09-30-2021 02-38-07.wav,2021-09-30T02:38:07,8,False,8
09-29-2021 23-58-55.wav,2021-09-29T23:58:55,10,False,10
09-30-2021 02-26-07.wav,2021-09-30T02:26:07,0,False,0
09-30-2021 01-45-19.wav,2021-09-30T01:45:19,10,False,10
09-30-2021 03-15-43.wav,2021-09-30T03:15:43,10,False,10
09-30-2021 00-59-43.wav,2021-09-30T00:59:43,0,False,0
09-30-2021 02-09-19.wav,2021-09-30T02:09:19,0,False,0
09-30-2021 01-22-55.wav,2021-09-30T01:22:55,0,False,0
09-30-2021 00-47-43.wav,2021-09-30T00:47:43,10,False,10
09-30-2021 02-17-19.wav,2021-09-30T02:17:19,0,False,0
09-30-2021 03-07-43.wav,2021-09-30T03:07:43,10,False,10
09-30-2021 01-57-19.wav,2021-09-30T01:57:19,10,False,10
09-30-2021 01-30-55.wav,2021-09-30T01:30:55,0,False,0
09-30-2021 02-05-19.wav,2021-09-30T02:05:19,0,False,0
09-30-2021 00-55-43.wav,2021-09-30T00:55:43,0,False,0
09-30-2021 03-19-43.wav,2021-09-30T03:19:43,10,False,10
09-30-2021 01-49-19.wav,2021-09-30T01:49:19,0,False,0
09-30-2021 03-31-43.wav,2021-09-30T03:31:43,0,False,0
09-30-2021 01-06-55.wav,2021-09-30T01:06:55,0,False,0
09-30-2021 02-33-19.wav,2021-09-30T02:33:19,10,False,10
09-30-2021 01-18-55.wav,2021-09-30T01:18:55,0,False,0
09-30-2021 02-54-55.wav,2021-09-30T02:54:55,0,False,0
09-30-2021 03-23-43.wav,2021-09-30T03:23:43,0,False,0
09-30-2021 02-58-55.wav,2021-09-30T02:58:55,0,False,0
09-30-2021 01-14-55.wav,2021-09-30T01:14:55,10,False,10
09-30-2021 02-21-19.wav,2021-09-30T02:21:19,10,False,10
09-30-2021 02-46-55.wav,2021-09-30T02:46:55,10,False,10
09-30-2021 00-24-31.wav,2021-09-30T00:24:31,10,False,10
09-30-2021 02-22-07.wav,2021-09-30T02:22:07,8,False,8
09-30-2021 00-36-31.wav,2021-09-30T00:36:31,10,False,10
09-29-2021 23-50-55.wav,2021-09-29T23:50:55,10,False,10
09-30-2021 00-28-31.wav,2021-09-30T00:28:31,0,False,0
09-30-2021 02-30-07.wav,2021-09-30T02:30:07,10,False,10
09-30-2021 01-54-07.wav,2021-09-30T01:54:07,0,False,0
09-30-2021 02-18-07.wav,2021-09-30T02:18:07,10,False,10
09-30-2021 00-00-31.wav,2021-09-30T00:00:31,10,False,10
09-30-2021 02-06-07.wav,2021-09-30T02:06:07,0,False,0
09-30-2021 01-46-07.wav,2021-09-30T01:46:07,10,False,10
09-30-2021 00-12-31.wav,2021-09-30T00:12:31,10,False,10
09-30-2021 02-14-07.wav,2021-09-30T02:14:07,10,False,10
09-30-2021 01-58-07.wav,2021-09-30T01:58:07,10,False,10
09-30-2021 01-10-55.wav,2021-09-30T01:10:55,0,False,0
09-30-2021 03-27-43.wav,2021-09-30T03:27:43,0,False,0
09-30-2021 02-42-55.wav,2021-09-30T02:42:55,10,False,10
09-30-2021 02-25-19.wav,2021-09-30T02:25:19,10,False,10
09-30-2021 01-02-55.wav,2021-09-30T01:02:55,0,False,0
09-30-2021 02-29-19.wav,2021-09-30T02:29:19,0,False,0
09-30-2021 02-50-55.wav,2021-09-30T02:50:55,0,False,0
09-30-2021 02-37-19.wav,2021-09-30T02:37:19,0,False,0
09-30-2021 01-34-55.wav,2021-09-30T01:34:55,0,False,0
09-30-2021 03-03-43.wav,2021-09-30T03:03:43,5,False,5
09-30-2021 01-53-19.wav,2021-09-30T01:53:19,0,False,0
09-30-2021 02-01-19.wav,2021-09-30T02:01:19,0,False,0
09-30-2021 00-51-43.wav,2021-09-30T00:51:43,10,False,10
09-30-2021 01-26-55.wav,2021-09-30T01:26:55,0,False,0
09-30-2021 01-41-19.wav,2021-09-30T01:41:19,10,False,10
09-30-2021 03-11-43.wav,2021-09-30T03:11:43,10,False,10
09-30-2021 01-38-55.wav,2021-09-30T01:38:55,10,False,10
09-30-2021 00-43-43.wav,2021-09-30T00:43:43,10,False,10
09-30-2021 02-13-19.wav,2021-09-30T02:13:19,10,False,10
09-30-2021 01-04-31.wav,2021-09-30T01:04:31,0,False,0
09-30-2021 02-48-31.wav,2021-09-30T02:48:31,10,False,10
09-30-2021 00-50-07.wav,2021-09-30T00:50:07,0,False,0
09-30-2021 02-56-31.wav,2021-09-30T02:56:31,10,False,10
09-30-2021 03-02-07.wav,2021-09-30T03:02:07,0,False,0
09-30-2021 01-16-31.wav,2021-09-30T01:16:31,10,False,10
09-30-2021 00-42-07.wav,2021-09-30T00:42:07,10,False,10
09-30-2021 02-44-31.wav,2021-09-30T02:44:31,10,False,10
09-30-2021 03-10-07.wav,2021-09-30T03:10:07,10,False,10
09-30-2021 01-08-31.wav,2021-09-30T01:08:31,0,False,0
09-30-2021 01-20-31.wav,2021-09-30T01:20:31,0,False,0
09-30-2021 03-26-07.wav,2021-09-30T03:26:07,0,False,0
09-30-2021 01-32-31.wav,2021-09-30T01:32:31,0,False,0
09-29-2021 23-31-43.wav,2021-09-29T23:31:43,0,False,0
09-30-2021 03-34-07.wav,2021-09-30T03:34:07,0,False,0
09-30-2021 02-07-43.wav,2021-09-30T02:07:43,10,False,10
09-30-2021 00-57-19.wav,2021-09-30T00:57:19,0,False,0
09-30-2021 00-30-55.wav,2021-09-30T00:30:55,0,False,0
09-30-2021 02-19-43.wav,2021-09-30T02:19:43,10,False,10
09-30-2021 00-49-19.wav,2021-09-30T00:49:19,0,False,0
09-30-2021 03-05-19.wav,2021-09-30T03:05:19,10,False,10
09-30-2021 01-55-43.wav,2021-09-30T01:55:43,10,False,10
09-29-2021 23-56-31.wav,2021-09-29T23:56:31,10,False,10
09-30-2021 01-59-43.wav,2021-09-30T01:59:43,10,False,10
09-30-2021 03-09-19.wav,2021-09-30T03:09:19,10,False,10
09-30-2021 00-45-19.wav,2021-09-30T00:45:19,10,False,10
09-30-2021 02-15-43.wav,2021-09-30T02:15:43,3,False,3
09-30-2021 00-22-55.wav,2021-09-30T00:22:55,8,False,8
09-30-2021 01-47-43.wav,2021-09-30T01:47:43,0,False,0
09-30-2021 03-17-19.wav,2021-09-30T03:17:19,10,False,10
09-30-2021 02-23-43.wav,2021-09-30T02:23:43,0,False,0
09-30-2021 00-14-55.wav,2021-09-30T00:14:55,10,False,10
09-30-2021 03-21-19.wav,2021-09-30T03:21:19,10,False,10
09-30-2021 02-31-43.wav,2021-09-30T02:31:43,10,False,10
09-30-2021 00-06-55.wav,2021-09-30T00:06:55,10,False,10
09-30-2021 03-33-19.wav,2021-09-30T03:33:19,10,False,10
09-30-2021 00-18-55.wav,2021-09-30T00:18:55,10,False,10
09-30-2021 03-12-31.wav,2021-09-30T03:12:31,10,False,10
09-30-2021 02-46-07.wav,2021-09-30T02:46:07,10,False,10
09-29-2021 23-26-55.wav,2021-09-29T23:26:55,0,False,0
09-30-2021 00-40-31.wav,2021-09-30T00:40:31,10,False,10
09-30-2021 02-58-07.wav,2021-09-30T02:58:07,0,False,0
09-30-2021 01-14-07.wav,2021-09-30T01:14:07,10,False,10
09-30-2021 01-18-07.wav,2021-09-30T01:18:07,0,False,0
09-30-2021 03-00-31.wav,2021-09-30T03:00:31,0,False,0
09-29-2021 23-53-19.wav,2021-09-29T23:53:19,10,False,10
09-30-2021 02-54-07.wav,2021-09-30T02:54:07,0,False,0
09-30-2021 00-52-31.wav,2021-09-30T00:52:31,0,False,0
09-30-2021 01-06-07.wav,2021-09-30T01:06:07,0,False,0
09-30-2021 03-28-31.wav,2021-09-30T03:28:31,10,False,10
09-30-2021 01-30-07.wav,2021-09-30T01:30:07,0,False,0
09-30-2021 03-24-31.wav,2021-09-30T03:24:31,6,False,6
09-30-2021 01-22-07.wav,2021-09-30T01:22:07,0,False,0
09-30-2021 02-41-19.wav,2021-09-30T02:41:19,0,False,0
09-30-2021 00-11-43.wav,2021-09-30T00:11:43,0,False,0
09-30-2021 02-26-55.wav,2021-09-30T02:26:55,10,False,10
09-29-2021 23-58-07.wav,2021-09-29T23:58:07,10,False,10
09-30-2021 01-13-19.wav,2021-09-30T01:13:19,0,False,0
09-30-2021 02-38-55.wav,2021-09-30T02:38:55,10,False,10
09-29-2021 23-54-07.wav,2021-09-29T23:54:07,10,False,10
09-30-2021 00-03-43.wav,2021-09-30T00:03:43,10,False,10
09-30-2021 02-53-19.wav,2021-09-30T02:53:19,10,False,10
09-30-2021 02-34-55.wav,2021-09-30T02:34:55,10,False,10
09-30-2021 01-01-19.wav,2021-09-30T01:01:19,0,False,0
09-30-2021 00-35-43.wav,2021-09-30T00:35:43,10,False,10
09-30-2021 01-29-19.wav,2021-09-30T01:29:19,0,False,0
09-30-2021 02-02-55.wav,2021-09-30T02:02:55,0,False,0
09-30-2021 01-37-19.wav,2021-09-30T01:37:19,0,False,0
09-30-2021 01-50-55.wav,2021-09-30T01:50:55,0,False,0
09-30-2021 00-27-43.wav,2021-09-30T00:27:43,0,False,0
09-30-2021 02-10-55.wav,2021-09-30T02:10:55,0,False,0
09-30-2021 01-25-19.wav,2021-09-30T01:25:19,0,False,0
09-30-2021 00-39-43.wav,2021-09-30T00:39:43,0,False,0
09-30-2021 01-42-55.wav,2021-09-30T01:42:55,10,False,10
09-30-2021 02-32-31.wav,2021-09-30T02:32:31,10,False,10
4507-16021-0012.wav,None,0,False,0
09-30-2021 00-34-07.wav,2021-09-30T00:34:07,10,False,10
09-30-2021 02-20-31.wav,2021-09-30T02:20:31,10,False,10
09-30-2021 00-38-07.wav,2021-09-30T00:38:07,4,False,4
09-30-2021 00-26-07.wav,2021-09-30T00:26:07,0,False,0
09-29-2021 23-59-43.wav,2021-09-29T23:59:43,10,False,10
09-30-2021 02-16-31.wav,2021-09-30T02:16:31,10,False,10
09-30-2021 00-10-07.wav,2021-09-30T00:10:07,10,False,10
09-30-2021 02-08-31.wav,2021-09-30T02:08:31,0,False,0
09-30-2021 01-44-31.wav,2021-09-30T01:44:31,10,False,10
09-30-2021 01-48-31.wav,2021-09-30T01:48:31,0,False,0
09-30-2021 02-04-31.wav,2021-09-30T02:04:31,0,False,0
09-30-2021 00-02-07.wav,2021-09-30T00:02:07,10,False,10
09-29-2021 23-55-43.wav,2021-09-29T23:55:43,10,False,10
09-30-2021 01-56-31.wav,2021-09-30T01:56:31,6,False,6
09-30-2021 03-06-55.wav,2021-09-30T03:06:55,10,False,10
8455-210777-0068.wav,None,0,False,0
09-30-2021 01-31-43.wav,2021-09-30T01:31:43,0,False,0
09-30-2021 03-18-55.wav,2021-09-30T03:18:55,4,False,4
09-30-2021 00-54-55.wav,2021-09-30T00:54:55,0,False,0
09-30-2021 00-33-19.wav,2021-09-30T00:33:19,10,False,10
09-30-2021 00-58-55.wav,2021-09-30T00:58:55,10,False,10
09-30-2021 03-14-55.wav,2021-09-30T03:14:55,10,False,10
09-30-2021 01-23-43.wav,2021-09-30T01:23:43,0,False,0
09-30-2021 00-46-55.wav,2021-09-30T00:46:55,10,False,10
09-30-2021 00-21-19.wav,2021-09-30T00:21:19,10,False,10
09-30-2021 03-22-55.wav,2021-09-30T03:22:55,10,False,10
09-30-2021 01-15-43.wav,2021-09-30T01:15:43,10,False,10
09-30-2021 02-59-43.wav,2021-09-30T02:59:43,0,False,0
09-30-2021 00-09-19.wav,2021-09-30T00:09:19,10,False,10
09-30-2021 02-47-43.wav,2021-09-30T02:47:43,10,False,10
09-30-2021 00-17-19.wav,2021-09-30T00:17:19,10,False,10
09-30-2021 03-30-55.wav,2021-09-30T03:30:55,10,False,10
09-30-2021 01-07-43.wav,2021-09-30T01:07:43,0,False,0
09-30-2021 00-05-19.wav,2021-09-30T00:05:19,10,False,10
09-30-2021 02-55-43.wav,2021-09-30T02:55:43,10,False,10
09-30-2021 01-19-43.wav,2021-09-30T01:19:43,0,False,0
09-30-2021 00-18-07.wav,2021-09-30T00:18:07,10,False,10
09-30-2021 02-00-31.wav,2021-09-30T02:00:31,0,False,0
09-30-2021 00-06-07.wav,2021-09-30T00:06:07,10,False,10
09-29-2021 23-51-43.wav,2021-09-29T23:51:43,10,False,10
09-30-2021 01-52-31.wav,2021-09-30T01:52:31,0,False,0
09-30-2021 02-12-31.wav,2021-09-30T02:12:31,10,False,10
09-30-2021 00-14-07.wav,2021-09-30T00:14:07,10,False,10
09-30-2021 01-40-31.wav,2021-09-30T01:40:31,10,False,10
09-30-2021 02-24-31.wav,2021-09-30T02:24:31,10,False,10
09-30-2021 00-22-07.wav,2021-09-30T00:22:07,10,False,10
09-30-2021 02-36-31.wav,2021-09-30T02:36:31,0,False,0
09-30-2021 02-28-31.wav,2021-09-30T02:28:31,0,False,0
09-30-2021 00-30-07.wav,2021-09-30T00:30:07,0,False,0
09-30-2021 01-03-43.wav,2021-09-30T01:03:43,0,False,0
09-30-2021 03-34-55.wav,2021-09-30T03:34:55,0,False,0
09-30-2021 00-01-19.wav,2021-09-30T00:01:19,10,False,10
09-30-2021 02-51-43.wav,2021-09-30T02:51:43,10,False,10
09-30-2021 01-11-43.wav,2021-09-30T01:11:43,0,False,0
09-30-2021 03-26-55.wav,2021-09-30T03:26:55,10,False,10
09-30-2021 02-43-43.wav,2021-09-30T02:43:43,10,False,10
09-30-2021 00-13-19.wav,2021-09-30T00:13:19,10,False,10
09-30-2021 01-27-43.wav,2021-09-30T01:27:43,0,False,0
09-30-2021 03-10-55.wav,2021-09-30T03:10:55,10,False,10
09-30-2021 01-39-43.wav,2021-09-30T01:39:43,10,False,10
09-30-2021 00-25-19.wav,2021-09-30T00:25:19,0,False,0
09-30-2021 00-42-55.wav,2021-09-30T00:42:55,10,False,10
09-30-2021 00-29-19.wav,2021-09-30T00:29:19,0,False,0
09-30-2021 01-35-43.wav,2021-09-30T01:35:43,0,False,0
09-30-2021 03-02-55.wav,2021-09-30T03:02:55,0,False,0
09-30-2021 00-37-19.wav,2021-09-30T00:37:19,0,False,0
09-30-2021 00-50-55.wav,2021-09-30T00:50:55,0,False,0
09-30-2021 03-20-31.wav,2021-09-30T03:20:31,10,False,10
09-30-2021 01-38-07.wav,2021-09-30T01:38:07,10,False,10
09-30-2021 01-26-07.wav,2021-09-30T01:26:07,0,False,0
09-30-2021 03-32-31.wav,2021-09-30T03:32:31,10,False,10
09-30-2021 01-34-07.wav,2021-09-30T01:34:07,0,False,0
09-30-2021 03-04-31.wav,2021-09-30T03:04:31,10,False,10
09-29-2021 23-57-19.wav,2021-09-29T23:57:19,10,False,10
09-30-2021 00-48-31.wav,2021-09-30T00:48:31,0,False,0
09-30-2021 02-50-07.wav,2021-09-30T02:50:07,10,False,10
09-30-2021 00-56-31.wav,2021-09-30T00:56:31,0,False,0
09-30-2021 01-02-07.wav,2021-09-30T01:02:07,0,False,0
09-30-2021 03-16-31.wav,2021-09-30T03:16:31,10,False,10
09-30-2021 02-42-07.wav,2021-09-30T02:42:07,10,False,10
09-30-2021 00-44-31.wav,2021-09-30T00:44:31,10,False,10
09-30-2021 01-10-07.wav,2021-09-30T01:10:07,0,False,0
09-30-2021 03-08-31.wav,2021-09-30T03:08:31,9,False,9
09-30-2021 02-14-55.wav,2021-09-30T02:14:55,0,False,0
09-30-2021 01-58-55.wav,2021-09-30T01:58:55,10,False,10
09-30-2021 00-23-43.wav,2021-09-30T00:23:43,10,False,10
09-30-2021 01-46-55.wav,2021-09-30T01:46:55,4,False,4
09-30-2021 01-21-19.wav,2021-09-30T01:21:19,0,False,0
09-30-2021 02-06-55.wav,2021-09-30T02:06:55,0,False,0
09-30-2021 00-31-43.wav,2021-09-30T00:31:43,0,False,0
09-30-2021 01-54-55.wav,2021-09-30T01:54:55,10,False,10
09-30-2021 02-18-55.wav,2021-09-30T02:18:55,0,False,0
09-30-2021 01-33-19.wav,2021-09-30T01:33:19,0,False,0
09-30-2021 02-30-55.wav,2021-09-30T02:30:55,0,False,0
09-29-2021 23-50-07.wav,2021-09-29T23:50:07,10,False,10
09-30-2021 00-07-43.wav,2021-09-30T00:07:43,10,False,10
09-30-2021 02-57-19.wav,2021-09-30T02:57:19,0,False,0
09-30-2021 00-19-43.wav,2021-09-30T00:19:43,10,False,10
09-30-2021 02-49-19.wav,2021-09-30T02:49:19,10,False,10
09-30-2021 01-05-19.wav,2021-09-30T01:05:19,0,False,0
09-30-2021 02-22-55.wav,2021-09-30T02:22:55,10,False,10
09-30-2021 01-09-19.wav,2021-09-30T01:09:19,0,False,0
09-30-2021 02-45-19.wav,2021-09-30T02:45:19,10,False,10
09-30-2021 00-15-43.wav,2021-09-30T00:15:43,10,False,10
09-30-2021 01-17-19.wav,2021-09-30T01:17:19,10,False,10
